Title,Author,Level List,Own,Read,ISBN,Lexile
A Book of Nonsense,"Lear, Edward",K-3,,,,
A Child’s Garden of Verses,"Stevenson, Robert Louis",K-3,,,,
A Pocketful of Poems,"Grimes, Nikki and Javaka Steptoe",K-3,,,,
A Tree is Nice,"Udry, Janice May and Marc Simont",K-3,,,,
A Visitor for Bear,"Becker, Bonny and  Kady MacDonald Denton",K-3,,,,
Abuela,"Dorros, Arthur and Elisa Kleven",K-3,,,,
Aesop’s Fables,Aesop,K-3,,,,
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Viorst, Judith and Ray Cruz",K-3,,,,
Alice’s Adventures in Wonderland,"Carroll, Lewis",4-6,,,,
All-of-a-Kind Family,"Taylor, Sydney and Helen John",4-6,,,,
Amazing Grace,"Hoffman, Mary and Caroline Binch",K-3,,,,
Amelia Bedelia,"Parish, Peggy and Fritz Siebel",K-3,,,,
Anansi the Spider,"McDermott, Gerald",K-3,,,,
Anne of Green Gables,"Montgomery, L.M.",4-6,,,,
Because of Winn-Dixie,"DiCamillo, Kate",4-6,,,,
Bedtime for Frances,"Hoban, Russell and Garth Williams",K-3,,,,
Ben and Me,"Lawson, Robert",4-6,,,,
Betsy-Tacy,"Lovelace, Maud Hart",4-6,,,,
Black Beauty,"Sewell, Anna",4-6,,,,
Bloomability,"Creech, Sharon",4-6,,,,
Blueberries for Sal,"McCloskey, Robert",K-3,,,,
Bridge to Terabithia,"Paterson, Katherine",4-6,,,,
Bronzeville Boys and Girls,"Brooks, Gwendolyn and Faith Ringgold",4-6,,,,
"Bud, Not Buddy","Curtis, Christopher Paul",4-6,,,,
Bunnicula,"Howe, Deborah & Jamesand Alan Daniel",4-6,,,,
Call It Courage,"Sperry, Armstrong",4-6,,,,
Caps for Sale,"Slobodkina, Esphyr",K-3,,,,
Castle,"Macaulay, David",4-6,,,,
Catwings,"Le Guin, Ursula K. and S.D. Schindler",K-3,,,,
Charlie and the Chocolate Factory,"Dahl, Roald and Quentin Blake",4-6,,,,
Charlotte’s Web,"White, E.B. and Garth Williams",K-3,,,,
Chrysanthemum,"Henkes, Kevin",K-3,,,,
Clementine,"Pennypacker, Sara and  Marla Frazee",K-3,,,,
Cloudy with a Chance of Meatballs,"Barrett, Judy",K-3,,,,
Coraline,"Gaiman, Neil",4-6,,,,
Corduroy,"Freeman, Don",K-3,,,,
Cowgirl Kate and Cocoa,"Silverman, Erica and Betsy Lewin",K-3,,,,
Crictor,"Ungerer, Tomi",K-3,,,,
Crow Boy,"Yashima, Taro",K-3,,,,
Curious George,"Rey, H.A.",K-3,,,,
D’Aulaire’s Book of Greek Myths,"D’Aulaire, Ingri andEdgar Parin D’Aulaire",4-6,,,,
Danny and the Dinosaur,"Hoff, Syd",K-3,,,,
Diary of a Worm,"Cronin, Doreen and Harry Bliss",K-3,,,,
Doctor Dolittle,"Lofting, Hugh",4-6,,,,
Esperanza Rising,"Ryan, Pam Munoz",4-6,,,,
Fairy Tales,"Andersen, Hans Christian",4-6,,,,
Freckle Juice,"Blume, Judy",K-3,,,,
Frederick,"Lionni, Leo",K-3,,,,
Freedom on the Menu: The Greensboro Sit-Ins,"Weatherford, Carole Boston",K-3,,,,
Frindle,"Clements, Andrew andBrian Selznick",4-6,,,,
Frog and Toad are Friends,"Lobel, Arnold",K-3,,,,
From the Mixed-up Files of Mrs. Basil E. Frankweiler,"Konigsburg, E.L.",4-6,,,,
George and Martha,"Marshall, James",K-3,,,,
Grandfather’s Journey,"Say, Allen",K-3,,,,
Green Eggs and Ham,"Seuss, Dr.",K-3,,,,
Gregor the Overlander,"Collins, Suzanne",4-6,,,,
Half Magic,"Eager, Edward",4-6,,,,
Harold and the Purple Crayon,"Johnson, Crockett",K-3,,,,
Harriet the Spy,"Fitzhugh, Louise",4-6,,,,
Harry Potter and the Sorcerer’s Stone,"Rowling, J.K.",4-6,,,,
Harry the Dirty Dog,"Zion, Gene and  Margaret Bloy Graham",K-3,,,,
Heidi,"Spyri, Johanna",4-6,,,,
