Heading row not found.,ID,northing,easting
,0,1022065,208029
,1,1020472,213876
,2,1020537,213788
,3,1021160,214421
,4,1020230,213575
,5,1046536,199577
,6,1045874,199421
,7,1039316,154899
,8,1041856,153669
,9,1005254,217606
,10,1003741,218692
,11,1005625,220440
,12,1006058,218926
,13,1037092,195154
,14,1041528,198007
,15,1041479,197637
,16,1039191,196926
,17,1042685,197649
,18,1008963,202154
,19,1010602,204702
,20,1008501,201167
,21,1054712,171555
,22,1011802,192547
,23,1006022,209682
,24,1048131,193167
,25,1047910,193474
,26,1047862,193540
,27,1029737,196913
,28,1029944,196236
,29,1055266,158829
,30,1055920,159535
,31,1055259,158670
,32,1055445,158850
,33,1055349,159866
,34,1055591,158929
,35,1055588,158376
,36,1055867,159723
,37,1056089,158524
,38,1054979,159374
,39,1029261,200709
,40,1029174,200856
,41,980907,197274
,42,1030474,191759
,43,1030340,191730
,44,1031372,192071
,45,1028736,191097
,46,1029190,191267
,47,1034290,195546
,48,1027644,192663
,49,1029091,193034
,50,1028784,192841
,51,1032626,213365
,52,1031231,213894
,53,1031207,213882
,54,1030554,213581
,55,1030276,217754
,56,1054489,199772
,57,1057387,201303
,58,1016551,211993
,59,1018076,212345
,60,999881,215571
,61,999603,210799
,62,1036727,185623
,63,1045475,181592
,64,1045486,181408
,65,1045507,181446
,66,1045254,180998
,67,1025959,208883
,68,1025874,208960
,69,1021639,213765
,70,1048086,198515
,71,1005745,221057
,72,1019150,207824
,73,1015509,209167
,74,1019125,207817
,75,1017078,207471
,76,1015110,210064
,77,1017246,194838
,78,1016910,194913
,79,1054042,186555
,80,1021999,188937
,81,1027190,187054
,82,1025425,188129
,83,1023674,188437
,84,1049920,191296
,85,1037687,199822
,86,1030309,188537
,87,1032251,189105
,88,1041860,194434
,89,1041819,193504
,90,1039306,192325
,91,1041021,189868
,92,1042340,184580
,93,1052359,201341
,94,1053194,202264
,95,1053490,200326
,96,1053561,200270
,97,1048151,199498
,98,1047946,200196
,99,1052361,201860
,100,1052992,200236
,101,1053046,200668
,102,1052384,201298
,103,1053025,202443
,104,1053324,201715
,105,1053741,200833
,106,1052840,201230
,107,1053985,201199
,108,1053144,201523
,109,1052905,202281
,110,1048126,199803
,111,1052797,200578
,112,1053768,201758
,113,1053252,200812
,114,1053235,201042
,115,1052372,201320
,116,1053417,200295
,117,1053323,200390
,118,1053540,200074
,119,1052517,202445
,120,1048493,200419
,121,1051678,202534
,122,1053184,201599
,123,1054257,199053
,124,1053775,199081
,125,1054148,199398
,126,1053640,199412
,127,1054335,198810
,128,1053610,199342
,129,1054407,198237
,130,1053907,197794
,131,1053578,197873
,132,1053092,198599
,133,1048672,197496
,134,1048732,197701
,135,1048637,196964
,136,1049158,196780
,137,1049109,196113
,138,1049344,196195
,139,1048483,197195
,140,1049237,196566
,141,1049656,196540
,142,1048519,197039
,143,1049203,196310
,144,1049049,196303
,145,1049794,196520
,146,1047917,195654
,147,1049080,197101
,148,1047365,195728
,149,1047988,195583
,150,1047457,195941
,151,1047663,195087
,152,1048022,195746
,153,1047453,194903
,154,1048003,195382
,155,1048102,195336
,156,1047305,195330
,157,1047363,195168
,158,1046304,220054
,159,1047210,220299
,160,1046154,220014
,161,1045282,222455
,162,1045728,221353
,163,1045428,222543
,164,1049857,217285
,165,1048928,219175
,166,1048800,218891
,167,1049019,219698
,168,1049842,218592
,169,1047687,222526
,170,1045187,222444
,171,1045410,221601
,172,1049695,217250
,173,1047290,221352
,174,1045636,220114
,175,1047264,220569
,176,1046411,218179
,177,1046359,220713
,178,1049550,218024
,179,1046471,218034
,180,1049578,217895
,181,1050024,219180
,182,1045300,221351
,183,1046636,218582
,184,1049116,219720
,185,1046030,221122
,186,1046469,221640
,187,1049336,219769
,188,1046000,218501
,189,1049940,218571
,190,1045586,220038
,191,1045475,220102
,192,1045750,221219
,193,1046094,220398
,194,1046028,218694
,195,1045401,220073
,196,1049264,218546
,197,1046854,223003
,198,1046659,223375
,199,1050193,218680
,200,1044875,222113
,201,1047927,221939
,202,1047633,221722
,203,1050550,218250
,204,1050136,218898
,205,1045612,222020
,206,1047141,223158
,207,1050159,219265
,208,1047527,221544
,209,1046748,219420
,210,1046625,220717
,211,1048649,219683
,212,1050888,217509
,213,1046847,221878
,214,1052826,214309
,215,1053145,214588
,216,1053893,214519
,217,1053620,214465
,218,1052422,214534
,219,1053275,214334
,220,1053381,215064
,221,1053218,214644
,222,1052918,214510
,223,1053192,215420
,224,1052698,214470
,225,1052780,214295
,226,1052634,215306
,227,1052945,214916
,228,1052962,215187
,229,1052472,215618
,230,1043944,218717
,231,1046253,216008
,232,1044390,220409
,233,1041992,222312
,234,1042937,221854
,235,1042613,222000
,236,1045054,217643
,237,1043250,222512
,238,1043086,222200
,239,1043246,222026
,240,1041981,221778
,241,1043119,222409
,242,1042712,222017
,243,1042542,220436
,244,1044188,219522
,245,1042980,222019
,246,1045632,218978
,247,1044428,217574
,248,1042780,222326
,249,1044876,217393
,250,1044710,217795
,251,1041595,222213
,252,1045963,217902
,253,1042362,221436
,254,1042659,220850
,255,1044800,217309
,256,1046378,216433
,257,1045171,219977
,258,1045512,216213
,259,1045363,218681
,260,1041797,221042
,261,1042430,220448
,262,1041738,222408
,263,1044489,218072
,264,1044462,217705
,265,1044336,221200
,266,1042537,221688
,267,1042578,221491
,268,1044764,221271
,269,1044748,217701
,270,1044743,221352
,271,1042259,221600
,272,1049825,211800
,273,1049404,213038
,274,1049765,213579
,275,1048730,214157
,276,1048192,213153
,277,1050246,212293
,278,1050142,211998
,279,1051297,212486
,280,1049122,213064
,281,1049523,214166
,282,1049697,212487
,283,1050540,213459
,284,1049378,214569
,285,1049965,213263
,286,1048569,213076
,287,1049619,211607
,288,1050493,213589
,289,1048509,213242
,290,1048702,212995
,291,1050527,212259
,292,1048796,213212
,293,1049665,213052
,294,1050620,211996
,295,1048968,211475
,296,,
,297,1050490,216104
,298,1050282,216271
,299,1047512,213522
,300,1048236,211829
,301,1050597,213121
,302,1047715,212501
,303,1050001,215983
,304,1050996,213266
,305,1050556,212941
,306,1048352,211220
,307,1048631,211566
,308,1050373,213546
,309,1051346,215463
,310,1051773,215344
,311,1049894,214802
,312,1047574,212888
,313,1049789,214225
,314,1047740,213190
,315,1046691,210693
,316,1046590,212202
,317,1046602,211701
,318,1045898,212111
,319,1045338,213698
,320,1046638,212068
,321,1045823,213076
,322,1045926,212036
,323,1046785,211956
,324,1046214,210954
,325,1046539,210819
,326,1046289,212558
,327,1046394,211976
,328,1045822,212940
,329,1046002,212590
,330,1022058,147049
,331,1023057,147093
,332,1023099,146625
,333,1022554,148550
,334,1023064,148633
,335,1023410,148220
,336,1022376,148314
,337,1022398,147341
,338,1023235,147308
,339,1023126,148167
,340,1022104,147934
,341,1021849,147954
,342,1022792,147691
,343,1022880,148802
,344,1058460,184591
,345,1059709,183938
,346,1059042,185268
,347,1058224,183405
,348,1059725,186728
,349,1058799,185492
,350,1059633,186548
,351,1060195,187958
,352,1059077,184740
