borough_code,neighborhood,zipcode,land_square_feet,gross_square_feet,sale_price,community_district,school_district,floor_area_total_building,floor_area_residential,maximum_allowable_residential_far,x_coordinate,y_coordinate
4,CORONA,11368,2666.0,1514.0,1100000.0,404,24,1514,1178,3.0,1022065,208029
4,CORONA,11368,2517.0,1715.0,650000.0,403,24,1715,1715,1.1,1020472,213876
4,CORONA,11368,2500.0,1380.0,664000.0,403,24,1380,1080,1.1,1020537,213788
4,CORONA,11368,2500.0,1098.0,650000.0,403,30,1098,1098,1.1,1021160,214421
4,CORONA,11368,2500.0,2081.0,795000.0,403,30,2081,2081,1.1,1020230,213575
4,HOLLIS,11423,2442.0,1664.0,441600.0,412,29,1664,1664,3.0,1046536,199577
4,HOLLIS,11432,2774.0,1804.0,625000.0,412,29,1804,910,3.0,1045874,199421
4,ARVERNE,11692,2000.0,1020.0,221000.0,414,27,1020,1020,,1039316,154899
4,ARVERNE,11692,3542.0,3084.0,967337.0,414,27,3084,3084,2.43,1041856,153669
4,ASTORIA,11106,2668.0,1274.0,2210000.0,401,30,1274,1274,2.43,1005254,217606
4,ASTORIA,11106,2850.0,3276.0,2500000.0,401,30,3276,1638,4.0,1003741,218692
4,ASTORIA,11102,1700.0,1232.0,1075000.0,401,30,1232,1232,3.0,1005625,220440
4,ASTORIA,11102,2000.0,2400.0,1275000.0,401,30,2400,1200,4.0,1006058,218926
4,JAMAICA,11435,2349.0,1209.0,450000.0,412,28,1209,,3.0,1037092,195154
4,JAMAICA,11432,2400.0,1152.0,775000.0,412,29,1152,1152,3.0,1041528,198007
4,JAMAICA,11432,2440.0,1080.0,670000.0,412,29,1080,1080,3.0,1041479,197637
4,JAMAICA,11432,1320.0,1524.0,710000.0,412,28,1524,1524,4.0,1039191,196926
4,JAMAICA,11432,3600.0,1623.0,880000.0,412,29,1623,1623,3.0,1042685,197649
4,MASPETH,11378,1800.0,1064.0,510000.0,405,24,1064,1064,1.65,1008963,202154
4,MASPETH,11378,2050.0,1056.0,560000.0,405,24,1056,1056,,1010602,204702
4,MASPETH,11378,2260.0,578.0,300000.0,405,24,578,578,,1008501,201167
4,ROSEDALE,11422,1892.0,612.0,220000.0,413,27,612,612,,1054712,171555
4,RIDGEWOOD,11385,2570.0,978.0,925000.0,405,24,978,978,1.65,1011802,192547
4,SUNNYSIDE,11104,1758.0,2322.0,1458800.0,402,24,2322,1393,3.0,1006022,209682
4,ST. ALBANS,11412,2538.0,1188.0,347500.0,412,29,1188,1188,,1048131,193167
4,ST. ALBANS,11412,2423.0,1188.0,425000.0,412,29,1188,1188,,1047910,193474
4,ST. ALBANS,11412,2423.0,1188.0,262000.0,412,29,1188,1188,,1047862,193540
4,KEW GARDENS,11418,3595.0,2250.0,1350000.0,409,27,2250,2250,4.0,1029737,196913
4,KEW GARDENS,11418,3613.0,1273.0,1500000.0,409,27,1273,1273,4.0,1029944,196236
4,FAR ROCKAWAY,11691,8004.0,2946.0,999950.0,414,27,2946,2946,1.02,1055266,158829
4,FAR ROCKAWAY,11691,5168.0,1956.0,990000.0,414,27,1956,1956,1.02,1055920,159535
4,FAR ROCKAWAY,11691,4347.0,1688.0,650500.0,414,27,1688,1688,1.02,1055259,158670
4,FAR ROCKAWAY,11691,4052.0,1472.0,895000.0,414,27,1472,1472,1.02,1055445,158850
4,FAR ROCKAWAY,11691,7000.0,1800.0,999000.0,414,27,1800,1800,1.02,1055349,159866
4,FAR ROCKAWAY,11691,4500.0,2116.0,915000.0,414,27,2116,2116,1.02,1055591,158929
4,FAR ROCKAWAY,11691,3192.0,2145.0,799000.0,414,27,2145,1560,1.02,1055588,158376
4,FAR ROCKAWAY,11691,9804.0,1432.0,1300000.0,414,27,1432,1432,1.02,1055867,159723
4,FAR ROCKAWAY,11691,8305.0,1616.0,1440000.0,414,27,1616,1616,1.02,1056089,158524
4,FAR ROCKAWAY,11691,3725.0,1932.0,780000.0,414,27,1932,1329,1.02,1054979,159374
4,FOREST HILLS,11375,1259.0,1416.0,1300000.0,406,28,1416,1416,2.43,1029261,200709
4,FOREST HILLS,11375,1242.0,1392.0,1270000.0,406,28,1392,1392,2.43,1029174,200856
4,HOWARD BEACH,11414,816.0,840.0,351400.0,101,2,15928,,10.0,980907,197274
4,RICHMOND HILL,11418,1800.0,980.0,431000.0,409,27,980,980,3.0,1030474,191759
4,RICHMOND HILL,11418,2000.0,1248.0,550000.0,409,27,1248,1248,3.0,1030340,191730
4,RICHMOND HILL,11418,1656.0,1164.0,506798.0,409,27,1164,1164,3.0,1031372,192071
4,RICHMOND HILL,11418,1526.0,1080.0,460000.0,409,27,1080,1080,3.0,1028736,191097
4,RICHMOND HILL,11418,1623.0,1900.0,650000.0,409,27,1900,950,3.0,1029190,191267
4,RICHMOND HILL,11418,2000.0,1321.0,665000.0,409,28,1321,1321,2.43,1034290,195546
4,RICHMOND HILL,11418,1537.0,2340.0,664511.0,409,27,2340,1170,3.0,1027644,192663
4,RICHMOND HILL,11418,2100.0,2000.0,640000.0,409,27,2000,1000,3.0,1029091,193034
4,RICHMOND HILL,11418,2165.0,2000.0,600000.0,409,27,2000,1000,3.0,1028784,192841
4,FLUSHING-NORTH,11355,1800.0,2046.0,769800.0,407,25,2046,1488,2.43,1032626,213365
4,FLUSHING-NORTH,11355,1311.0,1456.0,1200000.0,407,25,1456,1456,2.43,1031231,213894
4,FLUSHING-NORTH,11355,1724.0,1456.0,1600000.0,407,25,1456,1456,2.43,1031207,213882
4,FLUSHING-NORTH,11355,1820.0,3200.0,1200000.0,407,25,3200,1600,,1030554,213581
4,FLUSHING-NORTH,11354,3654.0,1575.0,1250000.0,407,25,1575,1575,,1030276,217754
4,QUEENS VILLAGE,11429,1473.0,1150.0,440000.0,413,29,1150,1150,,1054489,199772
4,QUEENS VILLAGE,11428,4360.0,1425.0,555000.0,413,29,1425,1425,2.43,1057387,201303
4,JACKSON HEIGHTS,11372,2000.0,1944.0,950000.0,403,30,1944,1944,3.44,1016551,211993
4,JACKSON HEIGHTS,11372,2500.0,1626.0,1400000.0,403,24,1626,1626,3.44,1018076,212345
4,LONG ISLAND CITY,11101,2500.0,1440.0,995000.0,401,30,1440,1440,,999881,215571
4,LONG ISLAND CITY,11101,1250.0,792.0,1500000.0,402,30,792,792,5.0,999603,210799
4,SOUTH OZONE PARK,11420,2000.0,756.0,462000.0,410,27,756,756,,1036727,185623
4,SPRINGFIELD GARDENS,11434,2200.0,1148.0,385000.0,413,29,1148,1148,,1045475,181592
4,SPRINGFIELD GARDENS,11434,2200.0,1148.0,275000.0,413,29,1148,1148,,1045486,181408
4,SPRINGFIELD GARDENS,11434,2200.0,1148.0,442000.0,413,29,1148,1148,,1045507,181446
4,SPRINGFIELD GARDENS,11434,2200.0,1160.0,370000.0,413,29,1160,1160,,1045254,180998
4,CORONA,11368,1800.0,1682.0,650000.0,404,24,1682,1332,2.0,1025959,208883
4,CORONA,11368,2730.0,895.0,815000.0,404,24,895,895,2.0,1025874,208960
4,CORONA,11368,2500.0,1245.0,950000.0,403,24,1245,623,2.0,1021639,213765
4,HOLLIS,11423,1100.0,1920.0,575000.0,412,29,1920,960,2.0,1048086,198515
4,ASTORIA,11102,1716.0,1200.0,875000.0,401,30,1200,600,2.0,1005745,221057
4,ELMHURST,11373,2502.0,1448.0,1300000.0,404,24,1448,1448,2.0,1019150,207824
4,ELMHURST,11373,2000.0,1344.0,790000.0,404,24,1344,1344,2.0,1015509,209167
4,ELMHURST,11373,2502.0,1448.0,1300000.0,404,24,1448,1448,2.0,1019125,207817
4,ELMHURST,11373,1500.0,970.0,765000.0,404,24,970,970,2.0,1017078,207471
4,ELMHURST,11373,1876.0,1760.0,1200000.0,404,24,1760,880,2.0,1015110,210064
4,GLENDALE,11385,2032.0,1938.0,600000.0,405,24,1938,969,2.0,1017246,194838
4,GLENDALE,11385,1750.0,1296.0,1350000.0,405,24,1296,648,2.0,1016910,194913
4,LAURELTON,11413,1923.0,1920.0,350000.0,413,29,1920,960,2.0,1054042,186555
4,WOODHAVEN,11421,1600.0,1140.0,454000.0,409,27,1140,1140,2.0,1021999,188937
4,OZONE PARK,11417,2054.0,2920.0,820000.0,410,27,2920,1460,2.0,1027190,187054
4,OZONE PARK,11416,2500.0,3320.0,537500.0,409,27,4120,1140,2.0,1025425,188129
4,OZONE PARK,11416,2475.0,2138.0,650000.0,409,27,2138,1069,2.0,1023674,188437
4,ST. ALBANS,11412,2007.0,1920.0,450000.0,412,29,1920,960,2.0,1049920,191296
4,JAMAICA HILLS,11432,2420.0,2680.0,1120000.0,408,28,2680,1340,2.0,1037687,199822
4,RICHMOND HILL,11419,2018.0,1312.0,284500.0,410,27,1312,1312,2.0,1030309,188537
4,RICHMOND HILL,11419,1680.0,2400.0,1060000.0,410,27,2400,1200,2.0,1032251,189105
4,SOUTH JAMAICA,11433,2185.0,1260.0,465000.0,412,28,1260,1260,2.0,1041860,194434
4,SOUTH JAMAICA,11433,2070.0,1800.0,410795.0,412,28,1800,900,2.0,1041819,193504
4,SOUTH JAMAICA,11435,2300.0,1252.0,440000.0,412,28,1252,1252,2.0,1039306,192325
4,SOUTH JAMAICA,11435,2798.0,1190.0,450000.0,412,28,1190,1190,2.0,1041021,189868
4,SO. JAMAICA-BAISLEY PARK,11436,2190.0,1620.0,310500.0,412,27,1620,810,2.0,1042340,184580
4,HOLLIS,11428,2400.0,976.0,420000.0,413,29,976,976,0.5,1052359,201341
4,HOLLIS,11427,4200.0,1328.0,570000.0,413,29,1328,1328,0.5,1053194,202264
4,HOLLIS,11428,2600.0,1020.0,277000.0,413,29,1020,1020,0.5,1053490,200326
4,HOLLIS,11428,3016.0,1318.0,300000.0,413,29,1318,1318,0.5,1053561,200270
4,HOLLIS,11423,5000.0,1776.0,690000.0,412,29,1776,1776,0.5,1048151,199498
4,HOLLIS,11423,15625.0,2484.0,625000.0,412,29,2484,2484,0.5,1047946,200196
4,HOLLIS,11427,2800.0,1800.0,515000.0,413,29,1800,1800,0.5,1052361,201860
4,HOLLIS,11428,3500.0,1208.0,545000.0,413,29,1208,1208,0.5,1052992,200236
4,HOLLIS,11428,2800.0,1800.0,408642.0,413,29,1800,1800,0.5,1053046,200668
4,HOLLIS,11428,2400.0,1200.0,515000.0,413,29,1200,1200,0.5,1052384,201298
4,HOLLIS,11427,4200.0,1298.0,550000.0,413,29,1298,1298,0.5,1053025,202443
4,HOLLIS,11428,4465.0,1730.0,540000.0,413,29,1730,1730,0.5,1053324,201715
4,HOLLIS,11428,7200.0,2314.0,815000.0,413,29,2314,2314,0.5,1053741,200833
4,HOLLIS,11428,2800.0,1665.0,585000.0,413,29,1665,1665,0.5,1052840,201230
4,HOLLIS,11428,3873.0,1664.0,440000.0,413,29,1664,1664,0.5,1053985,201199
4,HOLLIS,11428,2700.0,1899.0,510000.0,413,29,1899,1899,0.5,1053144,201523
4,HOLLIS,11427,3500.0,1336.0,493000.0,413,29,1336,1336,0.5,1052905,202281
4,HOLLIS,11423,14070.0,4272.0,700000.0,412,29,4272,4272,0.5,1048126,199803
4,HOLLIS,11428,2600.0,1120.0,495000.0,413,29,1120,1120,0.5,1052797,200578
4,HOLLIS,11428,4000.0,1843.0,625000.0,413,29,1843,1843,0.5,1053768,201758
4,HOLLIS,11428,2800.0,1620.0,499500.0,413,29,1620,1620,0.5,1053252,200812
4,HOLLIS,11428,2800.0,1344.0,550000.0,413,29,1344,1344,0.5,1053235,201042
4,HOLLIS,11428,2400.0,1144.0,531000.0,413,29,1144,1144,0.5,1052372,201320
4,HOLLIS,11428,2600.0,1020.0,520000.0,413,29,1020,1020,0.5,1053417,200295
4,HOLLIS,11428,2955.0,1800.0,217000.0,413,29,1800,1800,0.5,1053323,200390
4,HOLLIS,11428,4900.0,1080.0,469000.0,413,29,1080,1080,0.5,1053540,200074
4,HOLLIS,11427,4100.0,1290.0,565000.0,413,29,1290,1290,0.5,1052517,202445
4,HOLLIS,11423,5924.0,2208.0,945000.0,412,29,2208,1472,0.5,1048493,200419
4,HOLLIS,11427,4000.0,1222.0,270000.0,413,29,1222,1222,0.5,1051678,202534
4,HOLLIS,11428,4529.0,1332.0,490000.0,413,29,1332,1332,0.5,1053184,201599
4,HOLLIS,11429,4400.0,1376.0,460000.0,413,29,1376,1376,0.5,1054257,199053
4,HOLLIS,11429,6600.0,1566.0,430000.0,413,29,1566,1566,0.5,1053775,199081
4,HOLLIS,11429,4116.0,2010.0,250000.0,413,29,2010,2010,0.5,1054148,199398
4,HOLLIS,11429,7290.0,1472.0,432000.0,413,29,1472,1472,0.5,1053640,199412
4,HOLLIS,11429,3300.0,1440.0,345000.0,413,29,1440,1440,0.5,1054335,198810
4,HOLLIS,11429,3450.0,1400.0,595000.0,413,29,1400,1400,0.5,1053610,199342
4,HOLLIS,11429,5770.0,1728.0,455000.0,413,29,1728,1728,0.5,1054407,198237
4,HOLLIS,11429,4040.0,1252.0,510000.0,413,29,1252,1252,0.5,1053907,197794
4,HOLLIS,11429,4000.0,2120.0,290500.0,413,29,2120,2120,0.5,1053578,197873
4,HOLLIS,11429,4000.0,1640.0,535000.0,413,29,1640,1640,0.5,1053092,198599
4,HOLLIS,11423,4200.0,1140.0,335000.0,412,29,1140,1140,0.5,1048672,197496
4,HOLLIS,11423,4000.0,1632.0,500000.0,412,29,1632,1632,0.5,1048732,197701
4,HOLLIS,11423,7531.0,2334.0,765000.0,412,29,2334,2334,0.5,1048637,196964
4,HOLLIS,11412,4000.0,1936.0,522000.0,412,29,1936,1936,0.5,1049158,196780
4,HOLLIS,11412,4000.0,1440.0,400000.0,412,29,1440,1440,0.5,1049109,196113
4,HOLLIS,11412,3542.0,1400.0,379634.0,412,29,1400,1400,0.5,1049344,196195
4,HOLLIS,11423,4120.0,1456.0,480000.0,412,29,1456,1456,0.5,1048483,197195
4,HOLLIS,11412,4150.0,1699.0,525000.0,412,29,1699,1699,0.5,1049237,196566
4,HOLLIS,11412,4000.0,1770.0,225000.0,412,29,1770,1770,0.5,1049656,196540
4,HOLLIS,11423,4210.0,1534.0,549000.0,412,29,1534,1534,0.5,1048519,197039
4,HOLLIS,11412,4000.0,1388.0,560000.0,412,29,1388,1388,0.5,1049203,196310
4,HOLLIS,11412,4000.0,1248.0,335000.0,412,29,1248,1248,0.5,1049049,196303
4,HOLLIS,11412,3994.0,1968.0,600000.0,412,29,1968,1968,0.5,1049794,196520
4,HOLLIS,11412,2700.0,968.0,430000.0,412,29,968,968,0.5,1047917,195654
4,HOLLIS,11423,4000.0,1320.0,570000.0,412,29,1320,1320,0.5,1049080,197101
4,HOLLIS,11412,4000.0,1493.0,429680.0,412,29,1493,1493,0.5,1047365,195728
4,HOLLIS,11412,4000.0,1215.0,550000.0,412,29,1215,1215,0.5,1047988,195583
4,HOLLIS,11412,4000.0,1368.0,490000.0,412,29,1368,1368,0.5,1047457,195941
4,HOLLIS,11412,4000.0,1260.0,435000.0,412,29,1260,1260,0.5,1047663,195087
4,HOLLIS,11412,2200.0,968.0,350000.0,412,29,968,968,0.5,1048022,195746
4,HOLLIS,11412,4000.0,1260.0,450000.0,412,29,1260,1260,0.5,1047453,194903
4,HOLLIS,11412,4000.0,1180.0,455000.0,412,29,1180,1180,0.5,1048003,195382
4,HOLLIS,11412,4000.0,1200.0,402000.0,412,29,1200,1200,0.5,1048102,195336
4,HOLLIS,11412,2200.0,968.0,345000.0,412,29,968,968,0.5,1047305,195330
4,HOLLIS,11412,2658.0,1694.0,425000.0,412,29,1694,968,0.5,1047363,195168
